"participant","expertise","recruitment","piece","version","liking","3d_impression","items","imei1","imei2","imei3","imei4","imei5","imei6","imei7","imei8","imei9","imei10","imei11","imei12","imei13","imei14","imei15","imei16","imei17","imei18","imei19","imei20","imei21","imei22","imei23","imei24","imei25","MFRM"
99,0,1,1,1,4,3,"1-25",3,4,4,4,3,3,4,4,3,3,3,3,2,2,4,4,3,2,3,1,2,3,2,3,3,1
100,0,1,1,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
101,0,1,1,1,1,2,"1-25",1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,4,1,1,1,1,2,1
103,0,1,1,1,1,2,"1-25",2,3,2,3,2,2,3,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1
104,0,1,1,1,3,4,"1-25",4,4,4,4,4,3,3,2,2,2,3,2,3,3,3,4,3,3,4,3,4,3,4,3,4,1
105,0,1,1,1,3,4,"1-25",3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,1
106,0,1,1,1,2,3,"1-25",3,1,2,2,2,1,1,1,1,1,1,1,2,1,2,3,1,3,2,1,2,2,2,2,3,1
107,0,1,1,1,2,1,"1-25",1,3,3,2,1,2,2,2,2,2,3,1,1,1,1,2,3,1,1,1,2,1,1,1,2,1
108,0,1,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
109,0,1,1,1,2,3,"1-25",3,3,2,3,3,3,3,2,3,3,3,2,3,2,2,3,3,3,2,2,2,3,3,2,3,1
110,0,1,1,1,3,4,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,1
111,0,1,1,1,3,1,"1-25",2,3,2,3,2,1,2,1,2,2,2,2,1,1,2,2,3,2,2,1,2,2,1,2,2,1
112,0,1,1,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1
114,2,1,1,1,3,4,"1-25",3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,3,3,3,3,1
115,0,1,1,1,3,3,"1-25",3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,2,2,2,2,2,3,2,3,1
117,0,1,1,1,2,3,"1-25",1,3,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,3,2,1,2,2,2,3,2,1
118,0,1,1,1,4,3,"1-25",3,4,4,4,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1
119,0,1,1,1,2,3,"1-25",2,3,2,3,2,3,2,3,2,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,1
120,0,1,1,1,3,3,"1-25",1,3,3,3,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,3,3,1,3,1
121,0,1,1,1,3,2,"1-25",2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1
122,0,1,1,1,2,4,"1-25",2,4,2,4,4,2,3,3,4,3,4,4,2,1,3,4,3,2,3,1,1,3,3,1,4,1
123,0,1,1,1,4,4,"1-25",4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
124,0,1,1,1,4,1,"1-25",2,2,2,3,2,1,1,1,1,1,2,1,1,2,3,2,2,2,1,1,2,2,2,2,2,1
125,0,1,1,1,2,2,"1-25",2,2,1,2,1,2,2,2,1,2,3,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1
126,0,1,1,1,2,2,"1-25",3,3,3,2,2,3,3,2,2,3,3,3,3,3,2,2,3,2,2,3,3,2,3,2,2,1
128,0,1,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,2,3,"1-25",1,1,2,2,2,2,2,1,1,1,3,2,1,1,2,2,2,3,1,1,2,1,3,2,4,1
131,0,1,1,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,3,4,4,4,4,4,1
132,0,1,1,1,2,2,"1-25",1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,4,1
133,0,1,1,1,4,2,"1-25",2,3,4,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1
134,0,1,1,1,3,3,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,2,3,3,3,1
135,0,1,1,1,4,3,"1-25",3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
136,0,1,1,1,1,2,"1-25",1,2,2,2,2,2,1,2,1,2,4,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1
137,0,1,1,1,4,3,"1-25",3,4,4,4,4,4,4,2,2,2,3,2,2,4,2,4,3,2,3,1,3,3,3,2,3,1
138,0,1,1,1,1,3,"1-25",1,2,2,1,1,1,3,1,2,1,3,1,1,1,2,2,1,1,1,1,1,4,4,1,3,1
139,1,1,1,1,4,2,"1-25",1,4,3,4,2,3,4,4,3,2,3,3,1,3,3,3,3,2,3,2,3,3,2,2,2,1
140,0,1,1,1,1,4,"1-25",1,2,1,2,2,4,1,4,4,4,4,2,1,2,1,2,4,1,2,4,2,4,4,4,4,1
141,0,1,1,1,3,3,"1-25",2,2,2,3,3,2,2,2,3,3,3,2,2,2,3,2,3,3,3,2,3,2,3,2,3,1
142,0,1,1,1,2,1,"1-25",2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1
143,1,1,1,1,3,3,"1-25",3,2,3,3,2,3,2,3,2,3,3,2,3,3,3,2,3,3,2,2,2,3,3,2,3,1
144,0,1,1,1,4,4,"1-25",4,3,4,3,4,3,3,4,3,3,4,3,3,3,3,4,3,4,4,3,4,4,4,3,4,1
145,0,1,1,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,3,4,1
147,0,1,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,0,1,1,1,4,4,"1-25",4,4,4,3,3,4,4,2,3,3,4,3,3,2,3,4,4,3,3,3,2,4,4,4,3,1
149,0,1,1,1,2,1,"1-25",2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,1,2,1,1,1
150,0,1,1,1,4,4,"1-25",4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,1
151,0,1,1,1,1,3,"1-25",3,3,2,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,3,1,3,3,3,3,3,1
152,0,1,1,1,3,3,"1-25",2,3,3,3,3,2,3,2,3,3,3,3,2,1,3,3,3,2,2,1,2,3,3,1,3,1
153,0,1,1,1,2,3,"1-25",2,2,3,3,2,2,3,2,2,3,2,2,3,3,3,3,2,2,2,3,3,2,3,2,2,1
155,0,1,1,1,4,3,"1-25",3,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,1
157,0,1,1,1,3,3,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
160,0,1,1,1,3,3,"1-25",4,4,4,4,3,3,4,3,3,3,4,3,3,2,4,4,3,3,4,3,3,3,3,3,4,1
161,0,1,1,1,3,3,"1-25",4,3,3,4,4,3,3,3,4,3,2,3,3,3,4,3,4,3,3,3,4,3,3,3,3,1
162,0,1,1,1,3,3,"1-25",4,4,3,3,4,4,3,4,3,4,3,4,3,4,3,3,3,3,3,4,4,4,3,3,3,1
163,0,1,1,1,3,4,"1-25",4,3,4,4,4,3,4,3,1,1,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,1
164,0,1,1,1,4,4,"1-25",3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,1
165,0,1,1,1,3,3,"1-25",3,3,3,3,2,2,3,3,3,3,2,3,2,2,2,3,3,2,3,1,3,3,3,2,3,1
166,0,1,1,1,3,3,"1-25",3,4,4,3,4,3,3,3,3,3,3,3,2,3,3,4,3,3,3,2,3,2,3,3,3,1
167,1,1,1,1,1,2,"1-25",2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1
168,0,1,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1
169,0,1,1,1,4,3,"1-25",3,3,3,4,4,3,4,3,4,3,3,4,3,3,4,4,4,3,4,2,4,4,3,4,4,1
170,0,1,1,1,3,3,"1-25",3,3,4,3,3,3,4,3,3,3,2,2,2,2,3,3,3,4,3,2,3,2,3,1,4,1
171,0,1,1,1,3,3,"1-25",3,2,3,3,3,3,3,2,2,2,2,2,2,2,1,3,2,1,3,1,2,2,3,2,3,1
172,0,1,1,1,2,2,"1-25",1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1
173,0,1,1,1,1,1,"1-25",1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1
174,0,1,1,1,4,1,"1-25",1,3,3,2,2,1,3,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,1
177,0,1,1,1,4,4,"1-25",3,3,4,4,3,2,4,3,3,3,3,3,3,3,2,4,3,3,3,1,3,3,3,3,3,1
178,0,1,1,1,3,2,"1-25",2,3,2,3,2,2,2,2,1,2,2,1,1,1,1,3,2,2,2,2,3,3,1,1,3,1
179,0,1,1,1,2,3,"1-25",2,3,4,3,4,3,4,2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,3,3,4,1
180,0,1,1,1,1,2,"1-25",1,3,1,3,1,1,2,1,1,2,1,3,1,1,1,2,2,2,1,1,1,2,3,2,1,1
182,0,2,1,1,2,1,"1-25",1,2,1,2,3,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,3,1,3,1,1,1
183,0,1,1,1,3,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1
184,2,2,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1
186,2,2,1,1,4,1,"1-25",1,3,3,1,1,1,2,1,3,3,3,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1
187,0,2,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,1,2,1,1,2,1,"1-25",1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
189,1,2,1,1,4,1,"1-25",3,4,3,3,3,1,3,3,3,3,3,3,2,3,4,4,3,2,3,1,3,2,2,2,4,1
190,2,2,1,1,2,1,"1-25",1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,2,2,1,1,3,1,"1-25",1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,3,2,1,1,1,1,1
192,0,2,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,1,2,1,1,2,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1
195,1,2,1,1,3,3,"1-25",1,3,2,4,3,1,2,1,3,3,3,3,1,1,1,3,4,2,2,1,2,1,2,3,2,1
